land,aar,financial_allocation,humanitarian_allocation,military_allocation,total_allocation,financial_commitment,humanitarian_commitment,military_commitment,total_commitment,per_capita_eur,andel_bnp_pct
Czechia,2023,0.0,0.022597523046745192,0.05669403404109843,0.07929155708784362,0.0,0.022597523046745192,0.05669403404109843,0.07929155708784362,7.271100733335451,0.033282001570330524
Czechia,2024,0.0,0.0002581267146630182,0.08020940580785109,0.08046753252251411,0.0,0.0002581267146630182,0.11514962676330687,0.11540775347796989,7.3789386439460865,0.033775607922643835
Czechia,2025,0.0,0.0049844960428185,0.23441505140637856,0.23939954744919706,0.0,0.20953025265496494,0.23441505140637856,0.44394530406134347,21.95313459527083,0.10048605938351714
Denmark,2022,0.05029148671534722,0.12390731474386328,0.5705936048431082,0.7447924063023188,0.05029148671534722,0.12390731474386328,0.5705936048431082,0.7447924063023188,124.6099051667325,0.22116212991659537
Denmark,2023,0.06483588332926435,0.09050449549961063,3.9630457428054964,4.118386121634371,0.08307082765634012,0.07806695977419863,7.836591137306591,7.997728924737131,689.0399253728918,1.2229327780094048
Denmark,2024,0.0,0.16177461849965621,2.806559742091224,2.96833436059088,0.0,0.1282650655353707,0.5898447125273059,0.7181097780626766,496.6267916354715,0.881431045668343
Denmark,2025,0.0,0.5334098881490195,2.53686586404803,3.0702757521970496,0.0,0.8147099259291931,0.0,0.8147099259291931,513.6824262433428,0.9117019978202514
Denmark,2026,0.0,0.04551399712988964,0.07268881689914594,0.11820281402903558,0.0,0.0,1.7995502128457066,1.7995502128457066,19.776304540651147,0.03509969474928485
EU (Commission and Council),2022,7.32,1.5999999999999999,0.0,8.92,25.32,1.5999999999999999,0.0,26.92,,0.06141809314769385
EU (Commission and Council),2023,18.0,0.6504122932827842,0.0,18.650412293282784,50.675,0.6504122932827842,0.0,51.32541229328278,,0.1284162286403292
EU (Commission and Council),2024,17.894249999999996,0.41823875987545306,0.0,18.31248875987545,18.25,0.41823875987545306,0.0,18.668238759875454,,0.1260894776255748
EU (Commission and Council),2025,34.83172043010753,0.29,0.0,35.12172043010753,90.1,0.29,0.0,90.39,,0.24182837409009042
EU (Commission and Council),2026,0.0,0.2528387024608501,0.0,0.2528387024608501,0.0,0.2528387024608501,0.0,0.2528387024608501,,0.0017409048182827963
Estonia,2022,0.0,0.0291,0.29306219804080114,0.32216219804080115,0.0,0.008400845912366327,0.29306219804080114,0.3014630439531675,234.7537514661452,1.024528826143696
Estonia,2023,0.0,0.0015069999999999999,0.3889624089744613,0.3904694089744613,0.0,0.0010069999999999999,0.27596240897446134,0.2769694089744613,284.52797735727586,1.2417570020768312
Estonia,2024,0.01,0.018507300667173064,0.0275,0.05600730066717307,0.0776,0.062349999999999996,0.4,0.5399500000000002,40.81150433250415,0.17811243639686328
Estonia,2025,0.0,0.014214,0.16200000000000003,0.17621400000000007,0.0,0.0,0.0415,0.0415,128.4039462495109,0.5603895294606251
Estonia,2026,0.0,0.000608102,0.011,0.011608102,0.0,0.0,0.0,0.0,8.45861342042539,0.03691567535900065
European Investment Bank,2022,2.2605,0.0,0.0,2.2605,2.2605,0.0,0.0,2.2605,,
European Investment Bank,2023,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.1,,
European Investment Bank,2024,0.8064,0.0,0.0,0.8064,0.8064,0.0,0.0,0.8064,,
European Investment Bank,2025,0.000931,0.0,0.0,0.000931,0.000931,0.0,0.0,0.000931,,
European Peace Facility,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
European Peace Facility,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Finland,2022,0.0733,0.07924437120595362,0.2067,0.35924437120595365,0.0733,0.07924437120595362,0.236,0.38854437120595364,63.9234982913348,0.14291628225103514
Finland,2023,0.0815,0.03736995815844417,1.4080000000000004,1.5268699581584446,0.0815,0.03736995815844417,1.4080000000000004,1.5268699581584446,271.68934848940575,0.6074265747526403
Finland,2024,0.0,0.09925380344877785,0.7201000000000001,0.8193538034487778,0.0,0.20675380344877783,0.7201000000000001,0.9268538034487779,145.79480056690895,0.3259591766018575
Finland,2025,0.0046,0.03346979303571211,0.693,0.7310697930357122,0.0046,0.371,1.2100000000000002,1.5856000000000001,130.08565314214266,0.29083761712385636
Finland,2026,0.0,0.022,0.14100000000000001,0.16299999999999998,0.0,0.0,0.0,0.0,29.00401803516105,0.06484542521492583
France,2022,0.6994,0.33359741442951624,0.9668607825333682,1.999858196962884,0.6994,0.3194854591390589,0.45152491920280136,1.4704103783418605,29.17301202004398,0.07996649953667784
